Genotypes,Abbreviate form,DFF,FD,FL,FW,NDVI,PH,SLA,SPAD,TF,YPP,Gid
AC‐285,G1,109.07,61.34,6.13,9.93,0.51,108.82,132.4,46.75,15.21,7.83,1
BARI‐1,G2,99.32,40.97,4.1,8.3,0.48,89.82,121.08,45.59,21.96,11.13,2
BARI‐10,G3,95.32,38.47,3.85,9.5,0.6,103.82,119.16,62.32,14.96,5.72,3
BARI‐4,G4,98.32,44.96,4.5,8,0.58,93.82,159.86,63.09,29.96,14.54,4
BARI‐5,G5,93.82,57.79,5.78,8.2,0.56,94.07,111.21,39.09,13.71,7.67,5
BARI‐5.1,G6,97.32,42.07,4.21,7.82,0.5,97.82,90.05,52.51,16.96,7.66,6
BARI‐6,G7,99.32,69.99,7,10.58,0.55,90.82,103.26,53.2,13.96,7.1,7
BARI‐8,G8,99.32,50.29,5.03,8.5,0.47,97.82,161.28,47.14,15.96,7.53,8
BARI‐8.1,G9,98.07,26.15,2.62,3.77,0.68,92.32,113.09,57.4,12.96,4.06,9
BD‐2646,G10,98.07,40.18,4.02,7.1,0.46,98.32,169.52,43.63,13.96,7.56,10
BD‐2649,G11,104.07,82.16,8.22,12.35,0.47,96.82,221.29,39.97,15.21,9.03,11
BD‐2682,G12,109.07,42.33,4.23,6.55,0.43,96.82,180.74,43.5,19.21,8.18,12
BD‐2724,G13,98.07,43.38,4.34,6.37,0.41,103.32,107.99,55.03,13.96,7.71,13
BD‐2749,G14,111.07,34.25,3.42,4.65,0.63,90.82,118.2,55.29,17.21,7.9,14
BARI‐Bt brinjal‐1,G15,96.14,32.72,3.27,4.86,0.55,97.71,98.39,58.84,18.14,7.99,15
BARI‐Bt brinjal‐2,G16,95.43,36.6,3.66,6.62,0.49,99.71,100.26,55.67,22.43,7.6,16
BARI‐Bt brinjal‐3,G17,105.71,43.68,4.37,8.11,0.5,100.14,96.57,45.75,14.57,7.24,17
BARI‐Bt brinjal‐4,G18,97,53.56,5.36,11.11,0.48,96.71,104.05,50.19,12.71,7.24,18
Har‐1,G19,98.07,31.75,3.18,3.96,0.62,114.32,143.29,42.59,12.96,5.88,19
